Rowid,FROM,TO,OUT,Mapping
1,1,1,1,ValueToValue
2,2,2,2,ValueToValue
3,3,3,3,ValueToValue
4,4,4,4,ValueToValue
5,5,5,5,ValueToValue
6,6,6,6,ValueToValue
10,10,10,7,ValueToValue
11,11,11,8,ValueToValue
12,12,12,1,ValueToValue
13,13,13,1,ValueToValue
14,14,14,44,ValueToValue
21,21,21,14,ValueToValue
22,22,22,13,ValueToValue
23,23,23,14,ValueToValue
24,24,24,4,ValueToValue
25,25,25,16,ValueToValue
26,26,26,5,ValueToValue
27,27,27,18,ValueToValue
28,28,28,19,ValueToValue
29,29,29,20,ValueToValue
30,30,30,16,ValueToValue
31,31,31,21,ValueToValue
32,32,32,22,ValueToValue
33,33,33,23,ValueToValue
34,34,34,16,ValueToValue
35,35,35,24,ValueToValue
36,36,36,25,ValueToValue
37,37,37,26,ValueToValue
38,38,38,31,ValueToValue
39,39,39,27,ValueToValue
41,41,41,28,ValueToValue
42,42,42,29,ValueToValue
43,43,43,30,ValueToValue
44,44,44,31,ValueToValue
45,45,45,32,ValueToValue
46,46,46,33,ValueToValue
47,47,47,34,ValueToValue
48,48,48,35,ValueToValue
49,49,49,36,ValueToValue
50,50,50,37,ValueToValue
51,51,51,38,ValueToValue
52,52,52,39,ValueToValue
53,53,53,40,ValueToValue
54,54,54,41,ValueToValue
55,55,55,42,ValueToValue
56,56,56,43,ValueToValue
57,57,57,44,ValueToValue
58,58,58,0,ValueToValue
59,59,59,0,ValueToValue
60,60,60,0,ValueToValue
61,61,61,45,ValueToValue
63,63,63,0,ValueToValue
64,64,64,0,ValueToValue
65,65,65,0,ValueToValue
66,66,66,46,ValueToValue
67,67,67,46,ValueToValue
68,68,68,46,ValueToValue
69,69,69,47,ValueToValue
70,70,70,0,ValueToValue
71,71,71,0,ValueToValue
72,72,72,46,ValueToValue
74,74,74,46,ValueToValue
75,75,75,46,ValueToValue
76,76,76,46,ValueToValue
77,77,77,46,ValueToValue
81,81,81,0,ValueToValue
82,82,82,0,ValueToValue
83,83,83,0,ValueToValue
87,87,87,0,ValueToValue
88,88,88,0,ValueToValue
92,92,92,48,ValueToValue
111,111,111,0,ValueToValue
112,112,112,0,ValueToValue
121,121,121,0,ValueToValue
122,122,122,0,ValueToValue
123,123,123,0,ValueToValue
124,124,124,0,ValueToValue
131,131,131,45,ValueToValue
141,141,141,0,ValueToValue
142,142,142,0,ValueToValue
143,143,143,0,ValueToValue
152,152,152,0,ValueToValue
176,176,176,0,ValueToValue
190,190,190,0,ValueToValue
195,195,195,0,ValueToValue
204,204,204,46,ValueToValue
205,205,205,49,ValueToValue
206,206,206,50,ValueToValue
207,207,207,34,ValueToValue
208,208,208,51,ValueToValue
209,209,209,52,ValueToValue
210,210,210,46,ValueToValue
211,211,211,46,ValueToValue
212,212,212,46,ValueToValue
213,213,213,34,ValueToValue
214,214,214,53,ValueToValue
215,215,215,46,ValueToValue
216,216,216,54,ValueToValue
217,217,217,46,ValueToValue
218,218,218,46,ValueToValue
219,219,219,55,ValueToValue
220,220,220,46,ValueToValue
221,221,221,56,ValueToValue
222,222,222,57,ValueToValue
223,223,223,46,ValueToValue
224,224,224,31,ValueToValue
225,225,225,1,ValueToValue
226,226,226,1,ValueToValue
227,227,227,58,ValueToValue
228,228,228,1,ValueToValue
229,229,229,59,ValueToValue
230,230,230,13,ValueToValue
231,231,231,52,ValueToValue
232,232,232,2,ValueToValue
233,233,233,14,ValueToValue
234,234,234,13,ValueToValue
235,235,235,14,ValueToValue
236,236,236,4,ValueToValue
237,237,237,1,ValueToValue
238,238,238,4,ValueToValue
239,239,239,5,ValueToValue
240,240,240,5,ValueToValue
241,241,241,1,ValueToValue
242,242,242,60,ValueToValue
243,243,243,61,ValueToValue
244,244,244,34,ValueToValue
245,245,245,31,ValueToValue
246,246,246,62,ValueToValue
247,247,247,31,ValueToValue
248,248,248,34,ValueToValue
249,249,249,34,ValueToValue
250,250,250,63,ValueToValue
254,254,254,5,ValueToValue
